"sim_num","abundance","prev","iqr","age_lower","age_upper","sample_size"
1,9.88235294117647,76.4705882352941,14,0,3,17
1,23.3076923076923,100,27.25,3,4,26
1,22.6486486486486,100,11,4,5,37
1,16.037037037037,70.3703703703704,26,5,7,27
1,9.5,81.8181818181818,8.75,7,12,22
1,3.38461538461538,61.5384615384615,3.75,12,26,26
1,2.85714285714286,42.8571428571429,2,26,48,21
1,1.15384615384615,30.7692307692308,3,48,77,13
